cocktailId,cocktailName
652,Maraschino Side Car
653,A Regal Air 
654,Bird to Buck
655,The King's Mulled Cider
656,Dernier Mot
657,Divine Aspect
658,Iron Fist in a Velvet Glove
659,Bubbly Bird
660,Caipirinha
661,Italian Margarita
662,The Kings Mule
663,Tea & Sympathy
664,The Negroni Bianco
665,Duke's Classic Dry Martini
666,Paloma
667,The Rickenbacker
668,The Inside Job
669,Miyagikyo Kick
670,Nara Mule
671,Château Montifaud on the Rocks
672,Bubbleliciously Delicious
673,Division Bell
674,Creole Summer
675,Virgil St.
676,Trato Hecho
677,7th Heaven 
678,Willow
679,Boko Buku
680,Framboise de Pigeon
681,El Mustavo
682,The Pink Pussycat
683,The Mayan Premonition
