tConst,title,year,rating,votes
tt0011881,The Wonderful Chance,1920,6.1,28.0
tt0011890,Yes or No,1920,6.3,7.0
tt0011906,Action,1921,5.2,33.0
tt0011909,The Affairs of Anatol,1921,6.6,1194.0
tt0011923,Love of Perdition,1921,5.8,10.0
tt0011944,The Barbarian,1921,5.0,9.0
tt0011969,Big Town Ideas,1921,7.0,6.0
tt0011979,The Blot,1921,6.8,454.0
tt0011998,Brewster's Millions,1921,6.7,32.0
tt0012017,Burn 'Em Up Barnes,1921,6.8,33.0
tt0012028,Cappy Ricks,1921,1.7,9.0
tt0012045,The Child Thou Gavest Me,1921,5.8,9.0
tt0012068,The Conquering Power,1921,6.8,401.0
tt0012096,A Daughter of the Law,1921,5.5,17.0
tt0012105,The Devil Within,1921,5.6,12.0
tt0012111,Disraeli,1921,6.8,15.0
tt0012117,Don't Tell Everything,1921,6.1,11.0
tt0012125,Ducks and Drakes,1921,6.4,115.0
tt0012136,Enchantment,1921,6.4,261.0
tt0012190,The Four Horsemen of the Apocalypse,1921,7.2,2989.0
tt0012226,God's Gold,1921,5.8,11.0
tt0012227,Godless Men,1920,5.6,13.0
tt0012248,Hail the Woman,1921,7.0,43.0
tt0012249,Hamlet,1921,7.0,366.0
tt0012284,His Nibs,1921,6.9,17.0
tt0012313,"Mysteries of India, Part II: Above All Law",1921,6.7,277.0
tt0012314,"Mysteries of India, Part I: Truth",1921,6.6,230.0
tt0012328,Jackie,1921,5.2,29.0
tt0012329,Jane Eyre,1921,6.5,8.0
tt0012349,The Kid,1921,8.3,103450.0
tt0012362,Kvarnen,1921,6.3,7.0
tt0012365,Labyrinth of Horror,1921,5.4,52.0
tt0012366,Ladies Must Live,1921,6.9,21.0
tt0012382,Leap Year,1924,6.1,261.0
tt0012398,The Little Minister,1921,7.0,36.0
tt0012406,The Lotus Eater,1921,6.9,35.0
tt0012409,Love Never Dies,1921,6.7,86.0
tt0012410,The Love Special,1921,6.9,11.0
tt0012427,Madame Peacock,1920,6.7,9.0
tt0012436,The Man Tamer,1921,6.8,15.0
tt0012456,A Message from Mars,1921,4.5,12.0
tt0012468,Molly O',1921,6.6,40.0
tt0012472,Moonlight Follies,1921,6.3,9.0
tt0012486,My Boy,1921,6.2,231.0
tt0012494,Destiny,1921,7.7,4769.0
tt0012513,The Nut,1921,6.5,196.0
tt0012529,One a Minute,1921,6.1,10.0
tt0012538,Outside the Law,1920,6.6,452.0
tt0012555,Passion Flower,1921,6.1,10.0
tt0012563,Peck's Bad Boy,1921,6.2,58.0
tt0012600,The Queen of Sheba,1921,6.9,39.0
tt0012627,Rip Van Winkle,1921,5.9,32.0
tt0012642,A Sailor-Made Man,1921,6.9,910.0
tt0012651,The Haunted Castle,1921,6.3,1305.0
tt0012664,Sentimental Tommy,1921,6.3,7.0
tt0012685,The Silent Call,1921,3.9,13.0
tt0012699,The Sky Pilot,1921,7.0,99.0
